distance,physical_error_rate,logical_error_rate,ci_low,ci_high,num_shots
3,0.02,0.00286,0.0024285626608313033,0.003367823991189449,50000
3,0.04,0.01196,0.011043944728178318,0.012951043688871624,50000
3,0.06,0.02456,0.02323938136487731,0.025953671034520735,50000
3,0.08,0.04044,0.03874832820641763,0.04220228419613026,50000
3,0.1,0.06252,0.06043134618664066,0.06467587357545058,50000
3,0.12,0.08342,0.08102811633568678,0.08587589209553743,50000
3,0.15,0.12082,0.11799229510856879,0.12370596673057757,50000
3,0.18,0.1585,0.15532505190440976,0.16172742032004433,50000
3,0.22,0.2097,0.2061540296033648,0.21329057562872603,50000
3,0.26,0.26344,0.2595971355802968,0.26731921238285655,50000
5,0.02,0.00064,0.0004533993903366731,0.000903328369556079,50000
5,0.04,0.0048,0.004231049587158254,0.005445038979604984,50000
5,0.06,0.01352,0.012544436748123588,0.014570311971502785,50000
5,0.08,0.02906,0.027623428963661933,0.030568932000860437,50000
5,0.1,0.05128,0.0493808742158598,0.053248072596898684,50000
5,0.12,0.07498,0.07270406634624504,0.07732123890950157,50000
5,0.15,0.12194,0.11910082892458118,0.12483726082410726,50000
5,0.18,0.178,0.17467190349787629,0.1813775725087832,50000
5,0.22,0.24686,0.24310004343864508,0.2506588520778946,50000
5,0.26,0.31354,0.3094879148906434,0.3176207350975606,50000
7,0.02,0.00014,6.781800868034618e-05,0.000288986577309703,50000
7,0.04,0.00172,0.0013930699647103954,0.0021234918508121945,50000
7,0.06,0.00744,0.006723676003771957,0.008232006921197554,50000
7,0.08,0.02012,0.018925607803848384,0.02138812681129366,50000
7,0.1,0.04238,0.04064904804227761,0.044181266275012766,50000
7,0.12,0.07016,0.06795404129682621,0.07243200456249833,50000
7,0.15,0.12706,0.12416939723589504,0.1300079058135571,50000
7,0.18,0.19338,0.18994173459175973,0.1968653782441469,50000
7,0.22,0.28006,0.27614110564084393,0.28401268862283513,50000
7,0.26,0.35672,0.352532261357499,0.3609297539289425,50000
9,0.02,4e-05,1.096928168710662e-05,0.00014585066952240209,50000
9,0.04,0.00074,0.0005369427762034289,0.0010197696184698637,50000
9,0.06,0.0046,0.0040437340272449305,0.005232385269957228,50000
9,0.08,0.01362,0.012640746721334561,0.014673986633072353,50000
9,0.1,0.03416,0.03260330271652559,0.03578827462180435,50000
9,0.12,0.0628,0.06070689674816117,0.06496027999131558,50000
9,0.15,0.12974,0.12682310113078696,0.13271379013078363,50000
9,0.18,0.20704,0.20351097379156924,0.21061404015535923,50000
9,0.22,0.3076,0.30356968396517453,0.3116598787170654,50000
9,0.26,0.38958,0.3853141541579128,0.39386281211741425,50000
